,val_brisque,deg_brisque,val_blur,deg_blur
0,"(3.9471113681793213, 0.0, 0.0, 0.0)","(3.967132806777954, 0.0, 0.0, 0.0)",1409.2430490605855,1415.1028638412365
1,"(41.09955978393555, 0.0, 0.0, 0.0)","(41.161376953125, 0.0, 0.0, 0.0)",13646.437563929994,13670.184236139163
2,"(19.196094512939453, 0.0, 0.0, 0.0)","(71.29525756835938, 0.0, 0.0, 0.0)",527.6158454334363,38840.16662303265
3,"(2.316504955291748, 0.0, 0.0, 0.0)","(41.50417709350586, 0.0, 0.0, 0.0)",1109.137148283974,16.518040617044925
4,"(30.982099533081055, 0.0, 0.0, 0.0)","(30.853609085083008, 0.0, 0.0, 0.0)",891.4980585144701,892.4240810849719
5,"(13.422701835632324, 0.0, 0.0, 0.0)","(13.585448265075684, 0.0, 0.0, 0.0)",2322.428203212293,2323.3880653654574
6,"(22.874011993408203, 0.0, 0.0, 0.0)","(22.913516998291016, 0.0, 0.0, 0.0)",2151.5716013235506,2154.8227834692225
7,"(24.851701736450195, 0.0, 0.0, 0.0)","(25.535818099975586, 0.0, 0.0, 0.0)",8763.188369666925,8797.643217108212
8,"(29.427818298339844, 0.0, 0.0, 0.0)","(29.3702392578125, 0.0, 0.0, 0.0)",296.1683266946953,295.63410923236415
9,"(22.31667137145996, 0.0, 0.0, 0.0)","(49.76869201660156, 0.0, 0.0, 0.0)",392.88066916277376,299.8570190004655
10,"(8.282452583312988, 0.0, 0.0, 0.0)","(78.53411102294922, 0.0, 0.0, 0.0)",3155.119677834361,40758.879832658175
11,"(19.356334686279297, 0.0, 0.0, 0.0)","(59.952247619628906, 0.0, 0.0, 0.0)",624.1391914145843,5.551812177701663
12,"(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",2324.8139881700235,2326.8525552721344
13,"(2.7422921657562256, 0.0, 0.0, 0.0)","(2.63973331451416, 0.0, 0.0, 0.0)",1286.9585259323223,1295.785584228683
14,"(29.044523239135742, 0.0, 0.0, 0.0)","(40.847801208496094, 0.0, 0.0, 0.0)",6308.931402386772,26.89950529047136
15,"(24.98247528076172, 0.0, 0.0, 0.0)","(24.963106155395508, 0.0, 0.0, 0.0)",358.86526510831845,358.7746506119583
16,"(12.232682228088379, 0.0, 0.0, 0.0)","(12.1857328414917, 0.0, 0.0, 0.0)",2498.218327766505,2502.7804512499124
17,"(26.238536834716797, 0.0, 0.0, 0.0)","(85.72492218017578, 0.0, 0.0, 0.0)",208.00084369216992,289.2262768839789
18,"(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",1684.021093199172,1690.0776621481998
19,"(4.342132091522217, 0.0, 0.0, 0.0)","(77.68684387207031, 0.0, 0.0, 0.0)",1050.4563174495704,575.5412318639242
20,"(6.581882476806641, 0.0, 0.0, 0.0)","(55.4512939453125, 0.0, 0.0, 0.0)",765.3899099164113,10.080381018018853
21,"(20.510726928710938, 0.0, 0.0, 0.0)","(20.342679977416992, 0.0, 0.0, 0.0)",538.9898652434349,541.1802949309349
22,"(11.22911262512207, 0.0, 0.0, 0.0)","(72.85519409179688, 0.0, 0.0, 0.0)",4142.491953649968,229.5322521860701
23,"(8.969063758850098, 0.0, 0.0, 0.0)","(8.875930786132812, 0.0, 0.0, 0.0)",917.8193046022166,919.9153719180252
24,"(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",725.5455310544338,726.8957055763559
25,"(14.473227500915527, 0.0, 0.0, 0.0)","(56.07959747314453, 0.0, 0.0, 0.0)",4958.936475439143,18.314789906290546
26,"(8.580838203430176, 0.0, 0.0, 0.0)","(8.427148818969727, 0.0, 0.0, 0.0)",237.03493157856994,236.8698009052831
27,"(23.078046798706055, 0.0, 0.0, 0.0)","(23.394229888916016, 0.0, 0.0, 0.0)",7570.962121385902,7602.566572759743
28,"(19.442594528198242, 0.0, 0.0, 0.0)","(19.434913635253906, 0.0, 0.0, 0.0)",1576.815305112861,1578.2319903770042
29,"(7.443220615386963, 0.0, 0.0, 0.0)","(7.188395023345947, 0.0, 0.0, 0.0)",1046.3991260848586,1052.7637331939925
30,"(8.260823249816895, 0.0, 0.0, 0.0)","(49.06554412841797, 0.0, 0.0, 0.0)",2019.7317440879997,9048.422952467343
31,"(13.17652702331543, 0.0, 0.0, 0.0)","(13.372538566589355, 0.0, 0.0, 0.0)",4748.995089994511,4789.062719642185
32,"(6.170221328735352, 0.0, 0.0, 0.0)","(6.090604782104492, 0.0, 0.0, 0.0)",2494.8246710064013,2500.3255120851245
33,"(32.587249755859375, 0.0, 0.0, 0.0)","(60.57745361328125, 0.0, 0.0, 0.0)",122.2358136861003,8.3206303184852
34,"(9.10025405883789, 0.0, 0.0, 0.0)","(9.116327285766602, 0.0, 0.0, 0.0)",870.1717374479498,870.71469482298
35,"(7.796708106994629, 0.0, 0.0, 0.0)","(76.38623046875, 0.0, 0.0, 0.0)",1301.42710316259,37268.98768785985
36,"(31.601491928100586, 0.0, 0.0, 0.0)","(62.95048904418945, 0.0, 0.0, 0.0)",81.81661996241002,7.572504980563441
37,"(6.267195224761963, 0.0, 0.0, 0.0)","(69.94449615478516, 0.0, 0.0, 0.0)",2128.044269021087,38031.71956120571
38,"(6.473940372467041, 0.0, 0.0, 0.0)","(6.425965309143066, 0.0, 0.0, 0.0)",1090.1352512923581,1096.3444883124034
39,"(12.50291919708252, 0.0, 0.0, 0.0)","(62.19322967529297, 0.0, 0.0, 0.0)",787.7583295246586,15.838848411804065
40,"(10.38930606842041, 0.0, 0.0, 0.0)","(73.68819427490234, 0.0, 0.0, 0.0)",1243.2702946194486,33883.53921914358
41,"(30.65743637084961, 0.0, 0.0, 0.0)","(54.12356185913086, 0.0, 0.0, 0.0)",135.94639617163273,143.6888112201252
42,"(3.754830837249756, 0.0, 0.0, 0.0)","(66.63383483886719, 0.0, 0.0, 0.0)",557.5810654703897,20685.731771875595
43,"(17.21829605102539, 0.0, 0.0, 0.0)","(17.16978645324707, 0.0, 0.0, 0.0)",1135.7339010250787,1136.7423497300783
44,"(22.3302059173584, 0.0, 0.0, 0.0)","(66.19596099853516, 0.0, 0.0, 0.0)",212.8683024963528,6964.558951534239
45,"(18.68293571472168, 0.0, 0.0, 0.0)","(38.89405059814453, 0.0, 0.0, 0.0)",384.47626645799255,292.3634095565109
46,"(10.628132820129395, 0.0, 0.0, 0.0)","(10.632940292358398, 0.0, 0.0, 0.0)",296.88454602403095,296.87767789216275
47,"(13.580700874328613, 0.0, 0.0, 0.0)","(13.307788848876953, 0.0, 0.0, 0.0)",1644.9429473818745,1647.537521356484
48,"(26.29083251953125, 0.0, 0.0, 0.0)","(26.248281478881836, 0.0, 0.0, 0.0)",181.37701696948665,181.53822459189925
49,"(4.3198418617248535, 0.0, 0.0, 0.0)","(85.76036834716797, 0.0, 0.0, 0.0)",205.8086045334147,161.79788278829088
50,"(28.24044418334961, 0.0, 0.0, 0.0)","(28.125375747680664, 0.0, 0.0, 0.0)",549.3266695563481,546.9964187626543
51,"(0.0, 0.0, 0.0, 0.0)","(75.59432983398438, 0.0, 0.0, 0.0)",1569.674304959774,592.1636464589835
52,"(8.296926498413086, 0.0, 0.0, 0.0)","(8.234572410583496, 0.0, 0.0, 0.0)",391.29378237068875,391.30936372224045
53,"(33.34764099121094, 0.0, 0.0, 0.0)","(72.16825103759766, 0.0, 0.0, 0.0)",880.0405149351185,379.23720591225555
54,"(32.81345748901367, 0.0, 0.0, 0.0)","(73.32746887207031, 0.0, 0.0, 0.0)",284.02769635516887,38239.44771011079
